speakers,instances,threshold
10,10,0.4161263384227236
10,20,0.3968605186679906
10,40,0.2497305521242191
10,5,0.21650309484778832
10,60,0.17121959694238204
10,80,0.2905974081126494
20,10,0.4997825601009334
20,1,0.7100144827943594
20,20,0.8272094356783511
20,40,0.46798751213132295
20,5,0.19933366656397647
20,60,0.32008259701671044
20,80,0.4570584247903758
2,10,0.06646218360097483
2,1,0.48950029275925455
2,20,0.0022083035106752625
2,40,0.131699870627025
2,5,0.021084557271425868
2,60,0.0032348265120962913
2,80,0.29033092980895914
40,10,0.5820214103984155
40,1,1.2302361897822867
40,20,0.48388707786759605
40,40,0.6300917954265528
40,5,0.9396618769883895
40,60,0.14596411519404434
40,80,0.1721706892003861
5,10,0.04756916051237564
5,1,0.16192978296451715
5,20,0.04039122380061395
5,40,0.06735603741232075
5,5,0.17039517291840778
5,60,0.051613769317249
5,80,0.03793168448906066
60,10,0.37541971205802754
60,1,1.593725619110647
60,20,0.8380371702988465
60,40,0.6935113675916653
60,5,1.033398565000163
60,60,1.100043046313247
60,80,1.141325490449046
80,10,0.4656416996452903
80,1,1.2690724941100828
80,20,1.414835772812906
80,40,1.1570023433082461
80,5,0.9336642532421315
80,60,1.177399387108757
80,80,1.6790430293725105
