model,config,num_speakers,num_instances,avg_density
mfcc,10s_60i,10,60,0.4281155240333686
high,10s_60i,10,60,0.308353958560922
low,10s_60i,10,60,0.4422456713315457
mid,10s_60i,10,60,0.45209686106881175
mfcc,20s_1i,20,1,
high,20s_1i,20,1,
low,20s_1i,20,1,
mid,20s_1i,20,1,
mfcc,10s_80i,10,80,0.4231459779377225
high,10s_80i,10,80,0.3041358469709565
low,10s_80i,10,80,0.4443465017970604
mid,10s_80i,10,80,0.45871298488182355
mfcc,10s_20i,10,20,0.4035201554549368
high,10s_20i,10,20,0.2766513051484761
low,10s_20i,10,20,0.4299763850161903
mid,10s_20i,10,20,0.4668272721140009
mfcc,2s_5i,2,5,0.39495141506195064
high,2s_5i,2,5,0.13040615916252135
low,2s_5i,2,5,0.5933064937591552
mid,2s_5i,2,5,0.39082822799682615
mfcc,20s_10i,20,10,0.39778930664062506
high,20s_10i,20,10,0.2531712094942729
low,20s_10i,20,10,0.36641550196541683
mid,20s_10i,20,10,0.42657501008775495
mfcc,80s_40i,80,40,0.4133050521214804
high,80s_40i,80,40,0.2549457640525622
low,80s_40i,80,40,0.43898075592823516
mid,80s_40i,80,40,0.43031233591911117
mfcc,5s_40i,5,40,0.43433801113030845
high,5s_40i,5,40,0.33244316687950726
low,5s_40i,5,40,0.49530819232647244
mid,5s_40i,5,40,0.46518230731670673
mfcc,40s_5i,40,5,0.4003152070939541
high,40s_5i,40,5,0.2555816066637635
low,40s_5i,40,5,0.3498152235895395
mid,40s_5i,40,5,0.45332471847534184
mfcc,60s_10i,60,10,0.3979788381965072
high,60s_10i,60,10,0.26387572412137633
low,60s_10i,60,10,0.40691255843197865
mid,60s_10i,60,10,0.4346333365970188
mfcc,80s_5i,80,5,0.38421365775167937
high,80s_5i,80,5,0.23902380684390662
low,80s_5i,80,5,0.4030283330753446
mid,80s_5i,80,5,0.43877765044569966
mfcc,5s_5i,5,5,0.5262695837020874
high,5s_5i,5,5,0.30301306962966923
low,5s_5i,5,5,0.5677302360534668
mid,5s_5i,5,5,0.4399139881134033
mfcc,40s_10i,40,10,0.3878730626900991
high,40s_10i,40,10,0.2588137172328101
low,40s_10i,40,10,0.3681136035919189
mid,40s_10i,40,10,0.4406242248747084
mfcc,80s_1i,80,1,
high,80s_1i,80,1,
low,80s_1i,80,1,
mid,80s_1i,80,1,
mfcc,5s_1i,5,1,
high,5s_1i,5,1,
low,5s_1i,5,1,
mid,5s_1i,5,1,
mfcc,20s_60i,20,60,0.4265576577051885
