config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
10s_60i,mfcc,10,60,0.817783,0.21100645,3.875612008505747,0.655,-0.12809646129608154
10s_60i,mel_band_low,10,60,4.7914863,1.4882536,3.219533999343767,0.03333333333333333,0.39359405636787415
10s_60i,mel_band_high,10,60,3.7825277,1.5983455,2.3665254325657576,0.10666666666666667,0.21286214888095856
10s_60i,mel_band_mid,10,60,2.91347,1.3707851,2.125400887404448,0.20333333333333334,0.14213500916957855
20s_1i,mfcc,20,1,0.9466507,0.0,946650.6838798523,0.0,
20s_1i,mel_band_low,20,1,4.230297,0.0,4230297.088623047,0.0,
20s_1i,mel_band_high,20,1,4.9338245,0.0,4933824.53918457,0.0,
20s_1i,mel_band_mid,20,1,3.658866,0.0,3658865.9286499023,0.0,
10s_80i,mfcc,10,80,0.8164556,0.21291402,3.834654799479731,0.66625,-0.1236753836274147
10s_80i,mel_band_low,10,80,4.8435383,1.4884834,3.2540066863191446,0.02875,0.39923521876335144
10s_80i,mel_band_high,10,80,3.7609918,1.6222477,2.3183817753743345,0.1,0.20808930695056915
10s_80i,mel_band_mid,10,80,2.9133317,1.3777323,2.114583276652331,0.21125,0.13940472900867462
10s_20i,mfcc,10,20,0.81604326,0.20281668,4.023531170540115,0.65,-0.11841696500778198
10s_20i,mel_band_low,10,20,4.6736875,1.376411,3.3955585899803027,0.025,0.40514594316482544
10s_20i,mel_band_high,10,20,3.9412,1.580844,2.4930969870696567,0.08,0.19956298172473907
10s_20i,mel_band_mid,10,20,2.9743218,1.344155,2.212780320199087,0.19,0.13262085616588593
2s_5i,mfcc,2,5,0.5381448,0.1999956,2.690769781502207,0.1,0.3899002969264984
2s_5i,mel_band_low,2,5,3.9657624,1.2467365,3.18091201437775,0.0,0.5388327240943909
2s_5i,mel_band_high,2,5,4.9713855,1.600448,3.106244210596584,0.0,0.5181849598884583
2s_5i,mel_band_mid,2,5,2.9052567,1.3044899,2.227119297906126,0.0,0.37438493967056274
20s_10i,mfcc,20,10,0.8169901,0.18273793,4.470804717425908,0.755,-0.26634493470191956
20s_10i,mel_band_low,20,10,4.2235045,1.2585946,3.355727952188939,0.07,0.25360316038131714
20s_10i,mel_band_high,20,10,4.354657,1.5867838,2.7443275637724645,0.15,0.15364442765712738
20s_10i,mel_band_mid,20,10,3.2081773,1.2697302,2.5266586361541665,0.25,0.11622881144285202
80s_40i,mfcc,80,40,0.8331597,0.17694372,4.708587450481684,0.9165625,-0.32934388518333435
80s_40i,mel_band_low,80,40,4.768252,1.4047304,3.3944224233119424,0.2834375,0.08631433546543121
80s_40i,mel_band_high,80,40,4.159103,1.5560678,2.6728270958183526,0.281875,0.06950030475854874
80s_40i,mel_band_mid,80,40,3.1810122,1.3108743,2.4266320751320376,0.4690625,-0.010130524635314941
5s_40i,mfcc,5,40,0.96339256,0.18939078,5.08677073066412,0.365,0.09978511929512024
