config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
10s_60i,mfcc,10,60,0.5752668,0.31098205,1.8498332343918842,0.5716666666666667,-0.08886653929948807
10s_60i,high,10,60,0.32841805,0.236245,1.3901527960104962,0.6883333333333334,-0.2694222927093506
10s_60i,low,10,60,0.5206951,0.3255639,1.5993587702528957,0.6333333333333333,-0.12315218895673752
10s_60i,mid,10,60,0.2538381,0.3286417,0.7723831453004614,0.75,-0.10816442221403122
20s_1i,mfcc,20,1,0.6958475,0.0,695847.5112915039,0.0,
20s_1i,high,20,1,0.47482252,0.0,474822.5212097168,0.0,
20s_1i,low,20,1,0.7404745,0.0,740474.5221138,0.0,
20s_1i,mid,20,1,0.5083481,0.0,508348.10733795166,0.0,
10s_80i,mfcc,10,80,0.57321525,0.30745763,1.8643654722196845,0.5425,-0.08012628555297852
10s_80i,high,10,80,0.32631475,0.23386168,1.3953262685482124,0.67125,-0.2623770833015442
10s_80i,low,10,80,0.5193305,0.32784164,1.5840846764739225,0.62875,-0.11606580764055252
10s_80i,mid,10,80,0.24411735,0.3344401,0.7299262576995564,0.76125,-0.10475599020719528
10s_20i,mfcc,10,20,0.6060668,0.28335425,2.1388939061270777,0.51,-0.06268954277038574
10s_20i,high,10,20,0.3397886,0.20633659,1.6467604848073805,0.64,-0.2538650631904602
10s_20i,low,10,20,0.53404796,0.30866957,1.730155117277258,0.63,-0.11360235512256622
10s_20i,mid,10,20,0.22446285,0.3332815,0.6734912888760471,0.74,-0.11566483229398727
2s_5i,mfcc,2,5,0.45106968,0.25833386,1.7460658605849229,0.3,0.19772760570049286
2s_5i,high,2,5,0.13013628,0.0850423,1.5302355924221547,0.4,0.1347775161266327
2s_5i,low,2,5,0.2826972,0.3878213,0.7289349021755495,0.4,0.009142586961388588
2s_5i,mid,2,5,0.7502647,0.24745898,3.0318627916381566,0.0,0.5304577350616455
20s_10i,mfcc,20,10,0.5433594,0.2717642,1.9993708569939945,0.69,-0.186734139919281
