config,top1_accuracy,avg_confidence,min_conf,max_conf,label_mean,pred_std
lr0.1_nl1023_ff1.0_bf0.8,0.3619,0.8442,-5.5452,3.6121,0.0179,2.2047
lr0.1_nl1023_ff1.0_bf1.0,0.3619,0.8442,-5.5452,3.6121,0.0179,2.2047
lr0.05_nl1023_ff1.0_bf1.0,0.3012,0.6352,-4.8356,3.1,0.0179,1.7103
lr0.05_nl1023_ff1.0_bf0.8,0.3012,0.6352,-4.8356,3.1,0.0179,1.7103
lr0.1_nl511_ff1.0_bf1.0,0.295,0.7257,-5.1033,9.036,0.0179,2.1005
lr0.1_nl511_ff1.0_bf0.8,0.295,0.7257,-5.1033,9.036,0.0179,2.1005
lr0.05_nl511_ff1.0_bf0.8,0.2566,0.5627,-4.5169,2.8343,0.0179,1.6094
lr0.05_nl511_ff1.0_bf1.0,0.2566,0.5627,-4.5169,2.8343,0.0179,1.6094
lr0.1_nl255_ff1.0_bf1.0,0.2441,0.6441,-6.3815,4.1304,0.0179,2.0128
lr0.1_nl255_ff1.0_bf0.8,0.2441,0.6441,-6.3815,4.1304,0.0179,2.0128
lr0.05_nl255_ff1.0_bf0.8,0.221,0.5006,-4.0066,2.113,0.0179,1.5067
lr0.05_nl255_ff1.0_bf1.0,0.221,0.5006,-4.0066,2.113,0.0179,1.5067
lr0.1_nl127_ff1.0_bf0.8,0.2095,0.6003,-4.4606,5.6044,0.0179,1.785
lr0.1_nl127_ff1.0_bf1.0,0.2095,0.6003,-4.4606,5.6044,0.0179,1.785
lr0.05_nl127_ff1.0_bf1.0,0.1937,0.4561,-3.727,1.8353,0.0179,1.4275
lr0.05_nl127_ff1.0_bf0.8,0.1937,0.4561,-3.727,1.8353,0.0179,1.4275
lr0.1_nl63_ff1.0_bf0.8,0.1861,0.5429,-4.017,2.3336,0.0179,1.5422
lr0.1_nl63_ff1.0_bf1.0,0.1861,0.5429,-4.017,2.3336,0.0179,1.5422
lr0.05_nl63_ff1.0_bf1.0,0.1776,0.3955,-3.526,1.5231,0.0179,1.3501
lr0.05_nl63_ff1.0_bf0.8,0.1776,0.3955,-3.526,1.5231,0.0179,1.3501
lr0.1_nl31_ff1.0_bf0.8,0.1641,0.4638,-3.6222,3.7723,0.0179,1.5486
lr0.1_nl31_ff1.0_bf1.0,0.1641,0.4638,-3.6222,3.7723,0.0179,1.5486
lr0.05_nl31_ff1.0_bf1.0,0.1603,0.31,-3.4958,1.1931,0.0179,1.2794
lr0.05_nl31_ff1.0_bf0.8,0.1603,0.31,-3.4958,1.1931,0.0179,1.2794
lr0.1_nl15_ff1.0_bf0.8,0.1522,0.3739,-3.5443,4.9757,0.0179,1.3988
lr0.1_nl15_ff1.0_bf1.0,0.1522,0.3739,-3.5443,4.9757,0.0179,1.3988
lr0.05_nl15_ff1.0_bf1.0,0.1487,0.2376,-3.5581,0.8636,0.0179,1.2083
lr0.05_nl15_ff1.0_bf0.8,0.1487,0.2376,-3.5581,0.8636,0.0179,1.2083
