speakers,instances,precision,recall,accuracy
10,60,0.54,0.54,0.908
20,1,0.17,0.17,0.917
10,80,0.52,0.52,0.904
10,20,0.36,0.36,0.872
2,5,1.0,1.0,1.0
20,10,0.24,0.24,0.924
80,40,0.08,0.08,0.977
5,40,0.6,0.6,0.84
40,5,0.13,0.13,0.9565
60,10,0.08333333333333333,0.08333333333333333,0.9694444444444444
80,5,0.05,0.05,0.97625
5,5,0.52,0.52,0.808
40,10,0.12,0.12,0.956
80,1,0.04,0.04,0.976
5,1,0.44,0.44,0.776
20,60,0.3,0.3,0.93
2,40,1.0,1.0,1.0
20,80,0.26,0.26,0.926
10,10,0.4,0.4,0.88
20,20,0.24,0.24,0.924
40,1,0.11,0.11,0.9555
2,1,0.9,0.9,0.9
60,80,0.07333333333333333,0.07333333333333333,0.9691111111111111
60,20,0.07666666666666666,0.07666666666666666,0.9692222222222222
40,60,0.12,0.12,0.956
60,60,0.06333333333333334,0.06333333333333334,0.9687777777777777
40,20,0.12,0.12,0.956
20,5,0.15,0.15,0.915
40,80,0.14,0.14,0.957
10,5,0.32,0.32,0.864
80,80,0.055,0.055,0.976375
80,20,0.0725,0.0725,0.9768125
10,40,0.42,0.42,0.884
80,60,0.0425,0.0425,0.9760625
2,10,1.0,1.0,1.0
60,1,0.07,0.07,0.969
5,60,0.6,0.6,0.84
5,20,0.56,0.56,0.824
5,80,0.76,0.76,0.904
2,60,1.0,1.0,1.0
20,40,0.27,0.27,0.927
80,10,0.0625,0.0625,0.9765625
2,80,1.0,1.0,1.0
2,20,0.9,0.9,0.9
40,40,0.15,0.15,0.9575
60,5,0.07,0.07,0.969
10,1,0.26,0.26,0.852
5,10,0.56,0.56,0.824
60,40,0.10333333333333333,0.10333333333333333,0.9701111111111111
