speakers,instances,precision,recall,accuracy
10,60,0.98,0.98,0.996
20,1,0.86,0.86,0.986
10,80,0.98,0.98,0.996
10,20,1.0,1.0,1.0
2,5,1.0,1.0,1.0
20,10,0.97,0.97,0.997
80,40,0.9225,0.9225,0.9980625
5,40,1.0,1.0,1.0
40,5,0.96,0.96,0.998
60,10,0.9466666666666667,0.9466666666666667,0.9982222222222222
80,5,0.9175,0.9175,0.9979375
5,5,1.0,1.0,1.0
40,10,0.96,0.96,0.998
80,1,0.71,0.71,0.99275
5,1,0.96,0.96,0.984
20,60,0.99,0.99,0.999
2,40,1.0,1.0,1.0
20,80,0.99,0.99,0.999
10,10,0.98,0.98,0.996
20,20,0.96,0.96,0.996
40,1,0.77,0.77,0.9885
2,1,1.0,1.0,1.0
60,80,0.9333333333333333,0.9333333333333333,0.9977777777777778
60,20,0.9433333333333334,0.9433333333333334,0.9981111111111111
40,60,0.965,0.965,0.99825
60,60,0.9366666666666666,0.9366666666666666,0.9978888888888889
40,20,0.97,0.97,0.9985
20,5,0.96,0.96,0.996
40,80,0.955,0.955,0.99775
10,5,0.98,0.98,0.996
80,80,0.9,0.9,0.9975
80,20,0.9375,0.9375,0.9984375
10,40,1.0,1.0,1.0
80,60,0.915,0.915,0.997875
2,10,1.0,1.0,1.0
60,1,0.72,0.72,0.9906666666666667
5,60,1.0,1.0,1.0
5,20,1.0,1.0,1.0
5,80,1.0,1.0,1.0
2,60,1.0,1.0,1.0
20,40,0.99,0.99,0.999
80,10,0.9375,0.9375,0.9984375
2,80,1.0,1.0,1.0
2,20,1.0,1.0,1.0
40,40,0.95,0.95,0.9975
60,5,0.92,0.92,0.9973333333333333
10,1,0.98,0.98,0.996
5,10,1.0,1.0,1.0
60,40,0.9266666666666666,0.9266666666666666,0.9975555555555555
