,config,threshold,precision
0,5s_10i,0.45,0.958
1,10s_60i,0.45,0.958
2,20s_10i,0.3,0.994
3,40s_80i,0.25,0.994
4,20s_5i,0.25,0.994
5,80s_60i,0.24,0.995
6,60s_5i,0.24,0.995
7,2s_40i,0.24,0.995
8,60s_40i,0.24,0.995
9,10s_10i,0.24,0.995
10,80s_5i,0.24,0.995
11,2s_60i,0.24,0.995
12,60s_60i,0.24,0.995
13,80s_40i,0.24,0.999
14,40s_5i,0.28,1.0
15,5s_1i,0.28,1.0
16,80s_80i,0.28,1.0
17,2s_5i,0.28,1.0
18,10s_1i,0.28,1.0
19,60s_20i,0.28,1.0
20,60s_10i,0.28,1.0
21,2s_80i,0.28,1.0
22,10s_40i,0.28,1.0
23,40s_1i,0.28,1.0
24,2s_20i,0.28,1.0
25,20s_80i,0.28,1.0
26,40s_10i,0.28,1.0
27,80s_20i,0.28,1.0
28,60s_1i,0.28,1.0
29,5s_80i,0.28,1.0
30,60s_80i,0.28,1.0
31,10s_20i,0.28,1.0
32,20s_1i,0.28,1.0
33,40s_40i,0.28,1.0
34,5s_20i,0.28,1.0
35,20s_20i,0.28,1.0
36,80s_1i,0.28,1.0
37,10s_80i,0.28,1.0
38,40s_60i,0.28,1.0
39,5s_5i,0.28,1.0
40,2s_10i,0.28,1.0
41,2s_1i,0.28,1.0
42,40s_20i,0.28,1.0
43,20s_40i,0.28,1.0
44,10s_5i,0.28,1.0
45,5s_40i,0.28,1.0
46,5s_60i,0.28,1.0
47,20s_60i,0.28,1.0
48,80s_10i,0.28,1.0
