,config,threshold,precision
0,5s_10i,0.0,0.676
1,10s_60i,0.0,0.676
2,20s_10i,0.0,0.676
3,40s_80i,0.0,0.676
4,20s_5i,0.0,0.676
5,80s_60i,0.0,0.676
6,60s_5i,0.0,0.676
7,2s_40i,0.0,0.84
8,60s_40i,0.0,0.84
9,10s_10i,0.0,0.84
10,80s_5i,0.0,0.84
11,2s_60i,0.0,0.84
12,60s_60i,0.0,0.84
13,80s_40i,0.0,0.84
14,40s_5i,0.0,0.84
15,5s_1i,0.0,0.84
16,80s_80i,0.0,0.84
17,2s_5i,0.0,0.84
18,10s_1i,0.0,0.84
19,60s_20i,0.0,0.84
20,60s_10i,0.0,0.84
21,2s_80i,0.0,0.847
22,10s_40i,0.0,0.847
23,40s_1i,0.0,0.847
24,2s_20i,0.0,0.847
25,20s_80i,0.0,0.847
26,40s_10i,0.0,0.847
27,80s_20i,0.0,0.847
28,60s_1i,0.0,0.847
29,5s_80i,0.0,0.847
30,60s_80i,0.0,0.847
31,10s_20i,0.0,0.847
32,20s_1i,0.0,0.847
33,40s_40i,0.0,0.847
34,5s_20i,0.0,0.847
35,20s_20i,0.0,0.847
36,80s_1i,0.0,0.847
37,10s_80i,0.0,0.847
38,40s_60i,0.0,0.847
39,5s_5i,0.0,0.847
40,2s_10i,0.0,0.87
41,2s_1i,0.0,0.87
42,40s_20i,0.0,0.87
43,20s_40i,0.0,0.87
44,10s_5i,0.0,0.87
45,5s_40i,0.0,0.87
46,5s_60i,0.0,0.87
47,20s_60i,0.0,0.87
48,80s_10i,0.0,0.87
