,config,threshold,precision
0,5s_10i,0.2,0.979
1,10s_60i,0.2,0.979
2,20s_10i,0.2,0.979
3,40s_80i,0.15,0.983
4,20s_5i,0.13,0.989
5,80s_60i,0.13,0.989
6,60s_5i,0.13,0.989
7,2s_40i,0.13,0.989
8,60s_40i,0.13,0.989
9,10s_10i,0.13,0.989
10,80s_5i,0.13,0.989
11,2s_60i,0.13,0.989
12,60s_60i,0.13,0.989
13,80s_40i,0.13,0.989
14,40s_5i,0.13,0.989
15,5s_1i,0.13,0.989
16,80s_80i,0.13,0.989
17,2s_5i,0.13,0.989
18,10s_1i,0.13,0.989
19,60s_20i,0.13,0.989
20,60s_10i,0.13,0.989
21,2s_80i,0.13,0.989
22,10s_40i,0.13,0.989
23,40s_1i,0.13,0.989
24,2s_20i,0.13,0.989
25,20s_80i,0.13,0.989
26,40s_10i,0.13,0.989
27,80s_20i,0.13,0.989
28,60s_1i,0.13,0.989
29,5s_80i,0.13,0.989
30,60s_80i,0.13,0.989
31,10s_20i,0.13,0.989
32,20s_1i,0.13,0.989
33,40s_40i,0.13,0.989
34,5s_20i,0.13,0.989
35,20s_20i,0.13,0.989
36,80s_1i,0.09,0.99
37,10s_80i,0.09,0.99
38,40s_60i,0.09,0.99
39,5s_5i,0.09,0.99
40,2s_10i,0.09,0.99
41,2s_1i,0.09,0.99
42,40s_20i,0.09,0.99
43,20s_40i,0.09,0.99
44,10s_5i,0.09,0.99
45,5s_40i,0.09,0.99
46,5s_60i,0.09,0.99
47,20s_60i,0.09,0.99
48,80s_10i,0.09,0.99
