config,known_threshold,known_train_precision,known_train_recall,unknown_threshold,unknown_train_precision,unknown_train_recall
10s_10i,0.5314,1.0,0.235,0.74,0.672,0.765
10s_1i,0.43,0.789,0.652,0.44,0.587,0.667
10s_20i,0.6484,0.87,0.351,0.97,0.808,0.368
10s_40i,0.527,0.769,0.317,0.4279,0.529,1.0
10s_5i,0.4244,1.0,0.368,0.94,0.774,0.421
10s_60i,0.5401,0.609,0.292,0.42,0.578,1.0
10s_80i,0.5155,0.786,0.244,0.4155,0.542,1.0
20s_10i,0.6176,0.923,0.267,0.97,0.774,0.547
20s_1i,0.43,0.789,0.217,0.69,0.638,0.633
20s_20i,0.8392,0.659,0.243,0.979,0.597,0.307
20s_40i,0.9165,0.649,0.512,0.9748,0.656,0.393
20s_5i,0.7073,0.783,0.343,0.98,0.626,0.413
20s_60i,0.9497,0.58,0.425,0.9856,0.653,0.327
20s_80i,0.7697,0.857,0.238,0.9777,0.578,0.42
2s_10i,0.4007,1.0,0.5,0.35,0.667,1.0
2s_1i,0.4307,1.0,0.667,0.0,0.6,1.0
2s_40i,0.4306,0.6,1.0,0.43,0.667,0.667
2s_80i,0.4205,1.0,0.4,0.41,0.625,1.0
40s_10i,0.9594,0.643,0.333,0.9907,0.593,0.533
40s_1i,0.68,0.882,0.455,0.87,0.537,0.767
40s_20i,0.9596,0.977,0.378,0.989,0.598,0.793
40s_40i,0.9395,0.724,0.226,0.9974,0.66,0.233
40s_5i,0.93,0.726,0.312,0.9909,0.559,0.413
40s_60i,0.9398,0.74,0.254,0.9955,0.606,0.553
40s_80i,0.9898,0.619,0.593,0.9902,0.551,0.653
5s_1i,0.43,0.6,0.333,0.0,0.448,0.684
5s_20i,0.426,1.0,0.444,0.44,0.667,0.667
5s_40i,0.4068,1.0,0.667,0.45,1.0,0.333
5s_5i,0.34,1.0,0.25,0.4,0.655,0.923
5s_60i,0.6162,0.727,0.444,0.6,0.556,0.833
5s_80i,0.4175,1.0,0.417,0.63,0.75,0.5
60s_10i,0.96,0.812,0.206,0.9984,0.657,0.307
60s_1i,,0.0,0.0,0.87,0.511,0.913
60s_20i,0.99,0.73,0.45,0.9933,0.54,0.72
60s_40i,0.99,0.724,0.592,0.9952,0.527,0.707
60s_5i,0.96,0.75,0.232,0.99,0.595,0.627
60s_60i,0.9799,0.765,0.232,0.9947,0.544,0.707
60s_80i,0.97,0.814,0.235,0.9809,0.534,0.893
80s_10i,0.99,0.794,0.403,0.9914,0.551,0.893
80s_1i,,0.0,0.0,0.69,0.505,0.967
80s_20i,0.98,0.742,0.301,0.991,0.509,0.773
80s_40i,0.99,0.8,0.276,0.9933,0.524,0.873
80s_5i,0.97,0.824,0.206,0.9735,0.515,0.933
80s_60i,0.9899,0.687,0.271,0.9898,0.53,0.893
80s_80i,0.99,0.835,0.338,0.9796,0.521,0.973
